wkt_wgs84,x_wgs84,y_wgs84,country,province,district,municipality,postcode,object_type,object_type_name,veracity_score,accessibility,state,otar_id,name,description,wikidata,wikidata_url,wikipedia,wikipedia_url,published
POINT (15.779605 50.844761),15.779605,50.844761,Polska,dolnośląskie,karkonoski,Mysłakowice,58-533,K01.20.10,Pałace,good,partial,excellent,K01.20.10.5QN5NF,Pałac w Mysłakowicach,"Najstarsze wzmianki o miejscowości pochodzą z 1385 roku. W połowie XVII wieku ówczesny właściciel Leopold von Reibnitz wzniósł tutaj zamek, którego pozostałości były jeszcze widoczne w XIX stuleciu. Na miejscu dawnej rezydencji powstał później pałac z pierwszej połowy XVIII wieku, który na przestrzeni lat był wielokrotnie przebudowywany.",Q19401146,https://www.wikidata.org/wiki/Q19401146,pl:Pałac w Mysłakowicach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Mys%C5%82akowicach,2026-08-14
POINT (17.589264108 54.753265497),17.589264108,54.753265497,Polska,pomorskie,lęborski,Wicko,84-360,K01.20.10,Pałace,good,partial,excellent,K01.20.10.5RUVU5,Pałac w Nowęcinie,"Dawna obronna siedziba zamkowa wzniesiona w 1497 roku przez Mikołaja Wejhera. Obiekt był wielokrotnie przebudowywany, a jego obecna forma posiada cechy neogotyckiej rezydencji. Z najstarszych elementów zachowała się gotycka kaplica zwana Jerozolimką oraz pozostałości dawnych umocnień, w tym wały i fosa. Współcześnie zamek pełni funkcję użytkową, w jego wnętrzach działają hotel i restauracja.",Q30585222,https://www.wikidata.org/wiki/Q30585222,pl:Pałac w Nowęcinie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Now%C4%99cinie,2026-08-14
POINT (20.757827595 51.246996089),20.757827595,51.246996089,Polska,mazowieckie,szydłowiecki,Chlewiska,26-510,K01.20.10,Pałace,good,partial,excellent,K01.20.10.5VX138,Zamek w Chlewiskach,"Historia Chlewisk związana jest z rodem Odrowążów, którzy w XV wieku wznieśli tutaj murowany zamek rycerski, zastępując wcześniejszy drewniany zameczek z XII wieku. Z czasem właściciele przyjęli nazwisko Chlewiccy. W XVIII wieku dawną warownię przebudowano na pałac, który zachował się do dziś. Obecnie w obiekcie działa ośrodek wypoczynkowo-szkoleniowy.",Q9386612,https://www.wikidata.org/wiki/Q9386612,pl:Zamek w Chlewiskach,https://pl.wikipedia.org/wiki/Zamek_w_Chlewiskach,2026-08-14
POINT (16.733557627 50.431955543),16.733557627,50.431955543,Polska,dolnośląskie,kłodzki,Kłodzko,57-312,K01.20.10,Pałace,good,partial,excellent,K01.20.10.5XF14C,Pałac w Podzamku,"Dzisiejszy pałac, utrzymany w stylu neogotyckim, powstał w XIX wieku. Jego bryła kryje pozostałości zamku wzniesionego w 1554 roku. Z dawnych elementów zachował się również renesansowy portal. Obiekt jest efektem przebudowy wcześniejszego dworu z połowy XVI wieku, przeprowadzonej na przełomie XVII i XVIII stulecia.",Q11815014,https://www.wikidata.org/wiki/Q11815014,pl:Pałac w Podzamku,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Podzamku,2026-08-14
POINT (22.444780901 51.635963773),22.444780901,51.635963773,Polska,lubelskie,lubartowski,Kock,21-150,K01.20.10,Pałace,good,partial,excellent,K01.20.10.6U1A7T,Pałac w Kocku,"Pałac w Kocku ma początki w XVI w., gdy Firlejowie wznieśli tu obronne fortalicium. W latach 1779–1782 rezydencję całkowicie przebudowano według projektu Szymona Bogumiła Zuga, nadając jej klasycystyczny układ na planie podkowy z jońskim portykiem. Kolejna przebudowa nastąpiła w latach 1825–1832. Obecnie pałac jest zachowany, mieści dom pomocy społecznej i pozostaje zabytkiem chronionym.",Q30099897,https://www.wikidata.org/wiki/Q30099897,pl:Pałac w Kocku,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Kocku,2026-08-14
POINT (20.391416 54.025687),20.391416,54.025687,Polska,warmińsko-mazurskie,olsztyński,Dobre Miasto,11-040,K01.20.10,Pałace,good,limited,good,K01.20.10.6YA9CS,Pałac w Smolajnach,"Dawna letnia rezydencja biskupów warmińskich, wybudowana w latach 1741-1746 w stylu barokowym z inicjatywy biskupa Adama Stanisława Grabowskiego na miejscu wcześniejszego dworu obronnego (fortalicjum) z XV w., który wielokrotnie niszczony (wojna głodowa 1414, wojna trzynastoletnia 1454, konflikty 1519-1521, wojny szwedzkie) był każdorazowo odbudowywany. W 1557 r. przeniesiono tu siedzibę komornictwa dobromiejskiego, a w 1629 r. biskup Wacław Leszczyński obrał Smolajny na letnią rezydencję.",Q11815032,https://www.wikidata.org/wiki/Q11815032,pl:Pałac w Smolajnach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Smolajnach,2026-08-14
POINT (22.853547825 51.10161746),22.853547825,51.10161746,Polska,lubelskie,świdnicki,Piaski,21-050,K01.20.10,Pałace,good,full,excellent,K01.20.10.75GNCV,Pałac w Gardzienicach,"Pałac w Gardzienicach rozwinął się z XIV-wiecznej warowni, złożonej później z dwóch kamiennych wież połączonych murem kurtynowym. Od XVI w. Orzechowscy przekształcali ją w renesansowy dwór, a pod koniec XVII lub na początku XVIII w. Potoccy rozbudowali założenie w barokowy pałac. Obecnie zespół zachował pałac, część dawnego dworu, budynki gospodarcze i park, a w jego architekturze czytelne są relikty starszej zabudowy obronnej.",n/a,n/a,n/a,n/a,2026-08-14
POINT (23.248989212 50.717617955),23.248989212,50.717617955,Polska,lubelskie,Zamość,Zamość,22-400,K01.20.10,Pałace,good,partial,excellent,K01.20.10.7DHHNF,Pałac Zamoyskich w Zamościu,"Budowę zamku-pałacu rozpoczęto w 1579 roku z inicjatywy Jana Zamoyskiego, według projektu Bernarda Moranda. Najpierw powstały umocnienia obwodowe z dwiema bastejami, a dopiero później wzniesiono główny budynek rezydencji. Obiekt na przestrzeni wieków był niszczony, odbudowywany i wielokrotnie przekształcany. Od 1918 roku mieści się w nim siedziba sądu.",Q11814891,https://www.wikidata.org/wiki/Q11814891,pl:Pałac Zamoyskich w Zamościu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Zamoyskich_w_Zamo%C5%9Bciu,2026-08-14
POINT (22.496409443 51.105736014),22.496409443,51.105736014,Polska,lubelskie,lubelski,Strzyżewice,23-107,K01.20.10,Pałace,good,limited,excellent,K01.20.10.7HMDLG,Pałac w Osmolicach,"Zespół pałacowo-parkowy w Osmolicach to historyczna rezydencja, której korzenie sięgają średniowiecza. Początkowo w tym miejscu funkcjonował obronny kasztel otoczony wodami rzek Bystrzycy i Kosarzewki  z tej najstarszej budowli przetrwały do dziś masywne mury w przyziemiu oraz ciężko sklepione piwnice. Obecny pałac powstał w 1831 roku. Na przełomie XIX i XX wieku, za sprawą rodów Grabowskich i Stadnickich, budowlę rozbudowano o dodatkową kondygnację, taras południowy i boczne aneksy.",n/a,n/a,n/a,n/a,2026-08-14
POINT (22.609594982 51.46555872),22.609594982,51.46555872,Polska,lubelskie,lubartowski,Lubartów,21-100,K01.20.10,Pałace,fair,partial,excellent,K01.20.10.7MERMH,Pałac Sanguszków w Lubartowie,"Barokowy pałac Sanguszków w Lubartowie, przebudowany w XVIII wieku według projektu Pawła Antoniego Fontany, otaczają park, oranżeria i pozostałości ogrodu francuskiego. Obecnie mieści Starostwo Powiatowe i jest jedną z najważniejszych zabytkowych rezydencji miasta.",Q30099923,https://www.wikidata.org/wiki/Q30099923,pl:Pałac Sanguszków w Lubartowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Sanguszk%C3%B3w_w_Lubartowie,2026-08-14
POINT (15.807193615746774 50.89622878845043),15.807193615746774,50.89622878845043,Polska,dolnośląskie,karkonoski,Mysłakowice,58-500,K01.20.10,Pałace,good,partial,good,K01.20.10.7UF3HZ,Pałac w Dąbrowicy,"Początki tutejszej siedziby sięgają 1189 roku, kiedy Bolesław Wysocki wzniósł w Dąbrowicy zamek. Warownia została zniszczona w 1428 roku podczas wojen husyckich. W późniejszym okresie na miejscu dawnego założenia powstał pałac będący efektem przebudowy obronnego dworu z drugiej połowy XV wieku.",Q11814944,https://www.wikidata.org/wiki/Q11814944,pl:Pałac w Dąbrowicy,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_D%C4%85browicy,2026-08-14
POINT (17.931194502 50.539066685),17.931194502,50.539066685,Polska,opolskie,krapkowicki,Krapkowice,47-300,K01.20.10,Pałace,good,partial,good,K01.20.10.7W2NG6,Pałac w Dąbrówce Górnej,"należący do zespołu pałacowo-parkowego z drugiej połowy XVII w., był przebudowywany w XVIII i XX w. W latach 1907–1909 otrzymał formę neobarokową. Po 1945 r. jego wnętrza zostały silnie zdewastowane, następnie obiekt pełnił funkcje użytkowe. Od połowy lat 80. pozostawał nieużytkowany. W 1993 r. został zakupiony przez prywatnego właściciela z zamiarem remontu i adaptacji na hotel.",Q30225995,https://www.wikidata.org/wiki/Q30225995,pl:Pałac w Dąbrówce Górnej,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_D%C4%85br%C3%B3wce_G%C3%B3rnej,2026-08-14
POINT (17.273023531 50.84375223),17.273023531,50.84375223,Polska,dolnośląskie,oławski,Oława,55-200,K01.20.10,Pałace,fair,partial,good,K01.20.10.87HQR7,Pałac w Oleśnicy Małej,"Pałac w Oleśnicy Małej powstał z wcześniejszego zespołu klasztorno-rezydencjonalnego joannitów, rozwijanego od średniowiecza. Obecną formę uzyskał głównie w XVIII i XIX w., kiedy rozbudowano go w wieloskrzydłową rezydencję z dziedzińcem, wieżą i rozległym parkiem. W architekturze widoczne są elementy barokowe i późniejsze historyzujące. Obecnie pałac jest zachowany i użytkowany, a wraz z parkiem tworzy rozległy zespół zabytkowy.",Q20033973,https://www.wikidata.org/wiki/Q20033973,pl:Pałac w Oleśnicy Małej,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Ole%C5%9Bnicy_Ma%C5%82ej,2026-08-14
POINT (18.839883785 50.634401858),18.839883785,50.634401858,Polska,śląskie,lubliniecki,Koszęcin,42-286,K01.20.10,Pałace,good,partial,excellent,K01.20.10.8DUTWM,Pałac w Koszęcinie,"Początki rezydencji w Koszęcinie sięgają XVII wieku, kiedy Andrzej Kochcicki wzniósł murowany zamek wraz z kaplicą. W kolejnych latach obiekt wielokrotnie zmieniał właścicieli, a w XIX wieku został przebudowany przez ród Hohenlohe-Ingelfingen w stylu klasycystycznym. Obecny pałac pochodzi z lat 1829-1830 i otoczony jest zabytkowym parkiem krajobrazowym. Po wojnie rezydencja pełniła różne funkcje, a od 1953 roku jest siedzibą Państwowego Zespołu Pieśni i Tańca „Śląsk” im. Stanisława Hadyny.",Q11814970,https://www.wikidata.org/wiki/Q11814970,pl:Pałac w Koszęcinie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Kosz%C4%99cinie,2026-08-14
POINT (18.96485937 53.429436537),18.96485937,53.429436537,Polska,kujawsko-pomorskie,grudziądzki,Gruta,86-330,K01.20.10,Pałace,good,limited,good,K01.20.10.8JU6DP,Pałac w Mełnie,Eklektyczny pałac w Mełnie (woj. kujawsko-pomorskie) wzniesiony w 1855 r. dla rodu Bielerów. W 1902 r. dobudowano do niego nowe skrzydło w związku ze spodziewaną wizytą cesarza Wilhelma. Budowlę urozmaicają dwie wieże. Zabytek otacza stary park z egzotycznym drzewostanem. Obecnie obiekt należy do Instytutu Zootechniki w Krakowie.,Q29975091,https://www.wikidata.org/wiki/Q29975091,n/a,n/a,2026-08-14
POINT (16.176935121 52.902169153),16.176935121,52.902169153,Polska,wielkopolskie,czarnkowsko-trzcianecki,Wieleń,64-730,K01.20.10,Pałace,fair,limited,good,K01.20.10.8MLY1U,Pałac Sapiehów w Wieleniu,"Pałac Sapiehów w Wieleniu wzniesiono około 1749 r. w stylu barokowym, prawdopodobnie na miejscu wcześniejszego zamku. Planowano czteroskrzydłową rezydencję z wewnętrznym dziedzińcem, lecz ukończono głównie skrzydła południowe i zachodnie. Fasada zachowała pilastry, boniowany cokół, ryzalit i trójkątny naczółek. Po pożarze w 1945 r. pałac popadł w ruinę. Obecnie zachowane są mury i elewacje dawnej rezydencji.",Q11814855,https://www.wikidata.org/wiki/Q11814855,pl:Pałac Sapiehów w Wieleniu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Sapieh%C3%B3w_w_Wieleniu,2026-08-14
POINT (22.48446 49.690613),22.48446,49.690613,Polska,podkarpackie,przemyski,Bircza,37-740,K01.20.10,Pałace,good,limited,good,K01.20.10.A3DQ5M,Pałac w Birczy,"Choć pierwsze źródłowe wzmianki o Birczy pochodzą z pierwszej połowy XVIII wieku, przypuszcza się, że już w XVI wieku istniał tu obronny dwór bastionowy należący do rodu Bireckich. Budowla pełniła funkcję strażnicy przy szlaku handlowym prowadzącym z Przemyśla na Węgry. W XIX i XX wieku obiekt został gruntownie przebudowany, zmieniając swój pierwotny wygląd. Po remoncie przeprowadzonym w 1970 roku zaadaptowano go na internat.",Q11814916,https://www.wikidata.org/wiki/Q11814916,pl:Pałac w Birczy,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Birczy,2026-08-14
POINT (14.817265 51.633491),14.817265,51.633491,Polska,lubuskie,żarski,Trzebiel,68-212,K01.20.10,Pałace,fair,partial,bad,K01.20.10.AB5KQF,Pałac w Trzebielu,"Pałac w Trzebielu wzniesiono w 1601 r., na miejscu starszego zamku, a w 1729 r. przebudowano w stylu barokowym. Jest to dwukondygnacyjna budowla na planie kwadratu o boku ok. 22 m, nakryta dachem mansardowym. Symetryczną fasadę zdobią zdwojone pilastry, portal z pseudobalkonem, wolutowa wystawka i dekoracyjne opaski okienne. Na parterze zachowały się renesansowe sklepienia. Obiekt jest trwała ruiną, mocno zarośnięty",Q24945505,https://www.wikidata.org/wiki/Q24945505,pl:Pałac w Trzebielu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Trzebielu,2026-08-14
POINT (17.81176 51.101778),17.81176,51.101778,Polska,opolskie,namysłowski,Namysłów,46-142,K01.20.10,Pałace,good,limited,poor,K01.20.10.ASJ5CL,Pałac w Bukowie Śląskiej,"Pozostałości dworu obronnego to relikty dawnej rezydencji, której początki sięgają końca XVI wieku. Pierwotny budynek został wzniesiony w latach 1585-1588 z inicjatywy Achacego von Naefea. Na początku XX stulecia (w latach 1911-1912) budowla doczekała się przebudowy. Niestety, zabytek nie przetrwał do dziś w pełnej okazałości  w 1957 roku obiekt został rozebrany.",n/a,n/a,n/a,n/a,2026-08-14
POINT (22.208914155 49.773011582),22.208914155,49.773011582,Polska,podkarpackie,brzozowski,Nozdrzec,36-245,K01.20.10,Pałace,good,limited,excellent,K01.20.10.B8PPJL,Pałac Skrzyńskich w Nozdrzcu,"Pierwsze wzmianki o Nozdrzcu, dawniej znanym jako Nieczujów, pochodzą z 1436 roku. Na wysokiej skarpie nad Sanem znajdowała się wówczas obronna siedziba, początkowo drewniana, a później murowana, wyposażona w baszty. Obiekt przez lata wielokrotnie zmieniał właścicieli. W 1843 roku na miejscu dawnego zamku Ludwik Skrzyński wzniósł pałac. Po późniejszych przekształceniach przeprowadzonych przez Krośnieńskie Huty Szkła budynek pełni obecnie funkcję hotelu i ośrodka szkoleniowego.",Q30231981,https://www.wikidata.org/wiki/Q30231981,pl:Pałac Skrzyńskich w Nozdrzcu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Skrzy%C5%84skich_w_Nozdrzcu,2026-08-14
POINT (19.687646329 50.7817061),19.687646329,50.7817061,Polska,śląskie,częstochowski,Koniecpol,42-230,K01.20.10,Pałace,good,partial,good,K01.20.10.BGH8AU,Pałac w Koniecpolu,"Pałac powstały pod koniec XVIII wieku w miejscu wcześniejszego zamku wznoszonego od 1603 roku z inicjatywy Aleksandra Koniecpolskiego. Pierwotne założenie miało charakter obronny, jednak z czasem zostało przekształcone w reprezentacyjną rezydencję magnacką. W trakcie przebudowy usunięto mury obronne i zasypano fosę. Z dawnego założenia zachowała się jedna z baszt, przekształcona w XIX wieku w ozdobną altanę.",Q24945464,https://www.wikidata.org/wiki/Q24945464,pl:Pałac w Koniecpolu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Koniecpolu,2026-08-14
POINT (17.000571606 51.014049548),17.000571606,51.014049548,Polska,dolnośląskie,wrocławski,Żórawina,52-200,K01.20.10,Pałace,good,limited,good,K01.20.10.BHLYCC,Pałac w Komorowicach,"Renesansowa rezydencja powstała w 1529 roku jako zamek. Na przełomie XVII i XVIII wieku obiekt został poddany gruntownej przebudowie, która zmieniła jego charakter. Ostatnie większe prace remontowe przeprowadzono w 1971 roku. Pałac wywodzi się z XVI-wiecznego założenia z 1529 roku. Obecnie wystawiony na sprzedaż",Q24945643,https://www.wikidata.org/wiki/Q24945643,pl:Pałac w Komorowicach (powiat wrocławski),https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Komorowicach_%28powiat_wroc%C5%82awski%29,2026-08-14
