object_type,name,country,province,district,municipality,post_code,nearest_address,state,accessibility,veracity_score,description,wikipedia,wikidata
K01.20.30 - Dwory inne,Izdebno Kościelne,Polska,mazowieckie,grodziski,Grodzisk Mazowiecki,05-825,"mazowieckie, grodziski, Grodzisk Mazowiecki, Izdebno Kościelne, Szczygielskich 2",excellent,,,"Dwór z około 1800 roku, tynkowany i obmurowany cegłą. Zaadaptowany na dom opieki społecznej.",,
K01.20.30 - Dwory inne,Skaszewo Włościańskie,Polska,mazowieckie,pułtuski,Gzy,06-126,"mazowieckie, pułtuski, Gzy, Skaszewo Włościańskie 22",,,,,,
K01.20.30 - Dwory inne,Główina,Polska,mazowieckie,płocki,Brudzeń Duży,09-414,"mazowieckie, płocki, Brudzeń Duży, Główina 64",,,,,,
K01.20.30 - Dwory inne,Dwór Godzisz,Polska,mazowieckie,garwoliński,Sobolew,08-460,"mazowieckie, garwoliński, Sobolew, Godzisz, Młyńska 1",,,,,,
K01.20.30 - Dwory inne,Dwór Chotynia,Polska,mazowieckie,garwoliński,Sobolew,08-460,"mazowieckie, garwoliński, Sobolew, Chotynia 96",,,,,,
K01.20.30 - Dwory inne,Dwór (Reymontówka) Chlewiska,Polska,mazowieckie,siedlecki,Kotuń,08-130,"mazowieckie, siedlecki, Kotuń, Chlewiska 22",,,,,,
K01.20.30 - Dwory inne,Dwór w Bożej Woli,Polska,mazowieckie,miński,Siennica,05-332,"mazowieckie, miński, Siennica, Boża Wola 15",,,,,,
K01.20.30 - Dwory inne,Lipnica Wielka,Polska,małopolskie,nowosądecki,Korzenna,33-322,"małopolskie, nowosądecki, Korzenna, Lipnica Wielka 229",,,,,,
K01.30.20 - Dwory obronne,Dwór obronny Wieruskich w Wieruszycach,Polska,małopolskie,bocheński,Łapanów,32-740,"małopolskie, bocheński, Łapanów, Wieruszyce 2",excellent,partial,fair,"Dwór obronny w Wieruszycach (województwo małopolskie, powiat bocheński) to jeden z najlepiej zachowanych i najcenniejszych przykładów późnogotycko-renesansowej architektury rezydencjonalno-obronnej typu fortalitium w Polsce. Usytuowany na spłaszczonym wzgórzu w zakolu rzeki Stradomki, obiekt stanowił gniazdo rodowe rycerskiego rodu Wieruskich herbu Szreniawa, pełniąc funkcję reprezentacyjnego centrum majątku oraz punktu oporu chroniącego lokalny szlak handlowy.

Murowane założenie powstało w pierwszej połowie XVI wieku (około 1531 roku) z inicjatywy podsędka krakowskiego Wincentego Wieruskiego, który rozbudował istniejącą tu wcześniej, XV-wieczną wieżę mieszkalną. Dwór wzniesiono z łamanego kamienia i cegły na planie nieregularnego prostokąta. Architektura obiektu doskonale łączyła luksus renesansowego pałacu z surową funkcją obronną. Bryła posiada charakterystyczną, narożną basztę alkierzową o rzucie czworoboku, wysuniętą przed lico murów, która zapewniała boczny ostrzał podejść pod budynek. Rezydencję wyposażono w liczne kluczowe otwory strzelnicze, a jej obronność potęgowały wysokie walory topograficzne, strome stoki wzgórza oraz otaczający całość ziemny wał z fosą. Okna i portale zyskały bogatą, renesansową kamieniarkę o cechach rzemiosła krakowskiego. W XVII wieku obiekt przeszedł w ręce rodu Ołtarzewskich, a później Szaszkiewiczów, przechodząc drobne modernizacje, które nie zatarły jednak jego pierwotnego charakteru.

Współcześnie dwór w Wieruszycach znajduje się w rękach prywatnych. Właściciele przeprowadzili gruntowne, rzetelne prace konserwatorskie i rekonstrukcyjne, dzięki którym budowla odzyskała pełny blask, w tym historyczne pokrycie dachu i detale architektoniczne. Z uwagi na prywatny charakter własności, wnętrza dworu oraz otaczający go zadbany teren nie są powszechnie dostępne do masowego zwiedzania, jednak obiekt jest doskonale widoczny z zewnątrz i stanowi unikalny punkt na trasie szlaku renesansowych dworów obronnych Pogórza Wiśnickiego.",,Q30144378
K01.20.30 - Dwory inne,Wierzbno,Polska,małopolskie,proszowicki,Koniusza,32-104,"małopolskie, proszowicki, Koniusza, Wierzbno 20A",,,,,,
K01.20.30 - Dwory inne,Dwór Baranówka,Polska,małopolskie,krakowski,Kocmyrzów-Luborzyca,32-010,"małopolskie, krakowski, Kocmyrzów-Luborzyca, Baranówka, Orzechowa 3",,,,,,
K01.20.30 - Dwory inne,Dwór Burzyn,Polska,małopolskie,tarnowski,Tuchów,33-170,"małopolskie, tarnowski, Tuchów, Burzyn 1A",,,,,,
K01.20.30 - Dwory inne,Dwór w Wielogłowach,Polska,małopolskie,nowosądecki,Chełmiec,33-311,"małopolskie, nowosądecki, Chełmiec, Wielogłowy 1",,,,,,
K01.20.30 - Dwory inne,Dwór Marcinkowice,Polska,małopolskie,nowosądecki,Chełmiec,33-393,"małopolskie, nowosądecki, Chełmiec, Marcinkowice 1",,,,,,
K01.20.20 - Dwory szlacheckie,Zagórzany,Polska,małopolskie,wielicki,Gdów,32-420,"małopolskie, wielicki, Gdów, Zagórzany 1",,,,,,
K01.20.30 - Dwory inne,Janowiczki,Polska,małopolskie,miechowski,Racławice,32-222,"małopolskie, miechowski, Racławice, Janowiczki 23",,,,,,
K01.20.30 - Dwory inne,Przybysławice,Polska,małopolskie,miechowski,Gołcza,32-075,"małopolskie, miechowski, Gołcza, Przybysławice 81",,,,,,
K01.20.30 - Dwory inne,Dwór Opatkowice,Polska,małopolskie,proszowicki,Proszowice,32-100,"małopolskie, proszowicki, Proszowice, Opatkowice 146F",,,,,,
K01.20.30 - Dwory inne,Wielka Wieś,Polska,małopolskie,tarnowski,Wojnicz,32-830,"małopolskie, tarnowski, Wojnicz, Wielka Wieś 1",,,,,,
K01.20.30 - Dwory inne,Dwór Marchocice,Polska,małopolskie,miechowski,Racławice,32-222,"małopolskie, miechowski, Racławice, Marchocice 85",,,,,,
K01.20.30 - Dwory inne,Zbyszyce,Polska,małopolskie,nowosądecki,Gródek nad Dunajcem,33-318,"małopolskie, nowosądecki, Gródek nad Dunajcem, Zbyszyce 31",,,,,,
K01.20.30 - Dwory inne,Łososina Dolna,Polska,małopolskie,nowosądecki,Łososina Dolna,33-314,"małopolskie, nowosądecki, Łososina Dolna, Łososina Dolna 1",,,,,,
K01.20.30 - Dwory inne,Lusina,Polska,małopolskie,krakowski,Mogilany,32-031,"małopolskie, krakowski, Mogilany, Lusina, Zdrojowa 4",,,,,,
K01.20.30 - Dwory inne,Bolechowice,Polska,małopolskie,krakowski,Zabierzów,32-082,"małopolskie, krakowski, Zabierzów, Bolechowice, Winnica 14",,,,,,
K01.20.30 - Dwory inne,Węgrzce,Polska,małopolskie,krakowski,Zielonki,32-086,"małopolskie, krakowski, Zielonki, Węgrzce, A5 9",,,,,,
K01.20.30 - Dwory inne,Dwór Buszczyńskich w Krakowie,Polska,małopolskie,Kraków,Kraków,31-231,"małopolskie, Kraków, Kraków, Kraków, Siewna 25",,,,,,
K01.20.30 - Dwory inne,Zborówek,Polska,świętokrzyskie,buski,Pacanów,28-133,"świętokrzyskie, buski, Pacanów, Zborówek 58",fair,limited,good,"Piętrowy dwór z drugiej połowy XIX wieku w Zborówku (świętokrzyskie), charakteryzujący się wgłębnym portykiem balkonowym i rzeźbionymi obramieniami okien. Budynek jest obecnie w rękach prywatnych i od dłuższego czasu przechodzi powolny remont. Wnętrza są niedostępne, ale dwór można obejrzeć z zewnątrz",n/a,n/a
K01.20.30 - Dwory inne,Trzciniec,Polska,świętokrzyskie,jędrzejowski,Nagłowice,28-362,"świętokrzyskie, jędrzejowski, Nagłowice, Trzciniec 131",,,,,,
K01.20.30 - Dwory inne,Chlewice,Polska,świętokrzyskie,włoszczowski,Moskorzew,29-130,"świętokrzyskie, włoszczowski, Moskorzew, Chlewice, 16 Stycznia 19",,,,,,
K01.20.20 - Dwory szlacheckie,Lipnik,Polska,świętokrzyskie,opatowski,Lipnik,27-540,"świętokrzyskie, opatowski, Lipnik, Lipnik 2",,,,,,
K01.20.30 - Dwory inne,Słabuszewice,Polska,świętokrzyskie,opatowski,Lipnik,27-540,"świętokrzyskie, opatowski, Lipnik, Słabuszewice 55",,,,,,
K01.20.30 - Dwory inne,Oficjałów,Polska,świętokrzyskie,opatowski,Opatów,27-500,"świętokrzyskie, opatowski, Opatów, Oficjałów 29",excellent,limited,good,"Dwór w Oficjałowie to zabytkowy element dawnego zespołu dworskiego, przypominający o historii ziemiańskich siedzib i tradycjach regionu opatowskiego. Obiekt powstały na przełomie XIX i XX wieku wraz z otaczającym założeniem tworzy świadectwo dawnej organizacji majątku wiejskiego.",,
K01.30.20 - Dwory obronne,Bolmin,Polska,świętokrzyskie,kielecki,Chęciny,26-060,"świętokrzyskie, kielecki, Chęciny, Bolmin 66B",poor,n/a,fair,"ruiny dworu obronnego z przełomu XVI i XVII w. 
był wykorzystywany jeszcze do 1915 roku
w trakcie I wojny światowej został zniszczony i w takim stanie pozostaje do dzisiaj",,
K01.20.30 - Dwory inne,Dwór z Suchedniowa,Polska,świętokrzyskie,kielecki,Chęciny,26-060,"świętokrzyskie, kielecki, Chęciny, Tokarnia, Krakowska 109",,,,,,
K01.20.30 - Dwory inne,Dwór Kiełczyna,Polska,świętokrzyskie,staszowski,Bogoria,28-210,"świętokrzyskie, staszowski, Bogoria, Kiełczyna 23",,,,,,
K01.20.30 - Dwory inne,Stara Słupia,Polska,świętokrzyskie,kielecki,Nowa Słupia,26-006,"świętokrzyskie, kielecki, Nowa Słupia, Stara Słupia 193",,,,,,
K01.20.30 - Dwory inne,Miłoszyce,Polska,dolnośląskie,oławski,Jelcz-Laskowice,55-220,"dolnośląskie, oławski, Jelcz-Laskowice, Miłoszyce, Ogrodowa 20",,,,,,
K01.20.30 - Dwory inne,Dwór w Jawiszowie,Polska,dolnośląskie,kamiennogórski,Kamienna Góra,58-400,"dolnośląskie, kamiennogórski, Kamienna Góra, Jawiszów 10",,,,,,
K01.30.20 - Dwory obronne,Kostrza,Polska,dolnośląskie,świdnicki,Strzegom,58-150,"dolnośląskie, świdnicki, Strzegom, Kostrza, Tadeusza Kościuszki 1",,limited,fair,Ruiny dworu z 1. poł. XIX w. wybudowanego na miejscu dworu obronnego z XVI w. otoczone pozostałościami fosy. Budynek znajduje się w centrum Zespołu Dworskiego. ,,
K01.20.30 - Dwory inne,Tąpadła,Polska,dolnośląskie,świdnicki,Marcinowice,58-124,"dolnośląskie, świdnicki, Marcinowice, Tąpadła 16",good,limited,,"Jest to obiekt pięcioosiowy, dwukondygnacyjny, wzniesiony na planie prostokąta w orientacji wschód-zachód. Budynek zbudowano z cegły i kamienia, a następnie otynkowano, dzieląc kondygnacje podwójnym gzymsem kordonowym. Wygląd elewacji jest zróżnicowany – część zachodnia jest gładka, natomiast wschodnia posiada ozdobne boniowanie. Od strony południowej usytuowano poprzedzone kratą wejście reprezentacyjne. Zdobią je sześciopodziałowe drzwi z motywami snycerskimi przedstawiającymi orły i palmety. Całość wieńczy dach czterospadowy z ceramiczną dachówką i czterema oknami powiekowymi. Część stolarki okiennej zyskała modernistyczny charakter z ukośnymi podziałami.",pl:Dwór w Tąpadłach,Q20033719
K01.30.20 - Dwory obronne,Trzebieszowice I - dwór,Polska,dolnośląskie,kłodzki,Lądek-Zdrój,57-540,"dolnośląskie, kłodzki, Lądek-Zdrój, Trzebieszowice 70AZ",fair,partial,fair,"Ruiny renesansowego dworu z 1580 r., wzniesionego przy XIV-wiecznej wieży mieszkalno-obronnej. Po wojnie był tu zakład przetwórczy, od lat 90. XX w. budowla niszczeje.",pl:Dwór w Trzebieszowicach,Q18614062
K01.20.30 - Dwory inne,Jelenia Góra II - Dwór myśliwski,Polska,dolnośląskie,Jelenia Góra,Jelenia Góra,58-500,"dolnośląskie, Jelenia Góra, Jelenia Góra, Jelenia Góra, Nadbrzeżna 22A",,,,,,
K01.20.10 - Pałace,Pałac w Dąbrowicy,Polska,dolnośląskie,karkonoski,Mysłakowice,58-500,"dolnośląskie, karkonoski, Mysłakowice, Dąbrowica 48B",excellent,partial,good,"Początki tutejszej siedziby sięgają 1189 roku, kiedy Bolesław Wysocki wzniósł w Dąbrowicy zamek. Warownia została zniszczona w 1428 roku podczas wojen husyckich. W późniejszym okresie na miejscu dawnego założenia powstał pałac będący efektem przebudowy obronnego dworu z drugiej połowy XV wieku.
",pl:Pałac w Dąbrowicy,Q11814944
K01.20.30 - Dwory inne,Dwór Łomnica ,Polska,dolnośląskie,karkonoski,Mysłakowice,58-531,"dolnośląskie, karkonoski, Mysłakowice, Łomnica, Karpnicka 3",,,,,,
K01.20.30 - Dwory inne,Książnica,Polska,dolnośląskie,dzierżoniowski,Dzierżoniów,58-207,"dolnośląskie, dzierżoniowski, Dzierżoniów, Książnica 30",,,,,,
K01.30.10 - Zamki,Dwór w Ślęzie,Polska,dolnośląskie,wrocławski,Kobierzyce,55-040,"dolnośląskie, wrocławski, Kobierzyce, Ślęza, Templariuszy 1",excellent,full,good,Dwór obronny powsstały z rozbudowania wieży mieszkalnej z XIV-XV w.,pl:Dwór w Ślęzie,Q60862133
K01.20.30 - Dwory inne,Dwór Opartowo,Polska,podlaskie,grajewski,Rajgród,19-206,"podlaskie, grajewski, Rajgród, Rajgród, Opartowo 2",,,,,,
K01.20.30 - Dwory inne,Dwór Strabla,Polska,podlaskie,bielski,Wyszki,17-132,"podlaskie, bielski, Wyszki, Strabla, Pałacowa 5",,,,,,
K01.20.30 - Dwory inne,Tuczki,Polska,warmińsko-mazurskie,działdowski,Rybno,13-220,"warmińsko-mazurskie, działdowski, Rybno, Tuczki 30",,,,,,
K01.20.20 - Dwory szlacheckie,Mołdyty,Polska,warmińsko-mazurskie,bartoszycki,Bisztynek,11-230,"warmińsko-mazurskie, bartoszycki, Bisztynek, Mołdyty 4",,,,,,
K01.20.30 - Dwory inne,Wysokie,Polska,warmińsko-mazurskie,ełcki,Kalinowo,19-314,"warmińsko-mazurskie, ełcki, Kalinowo, Wysokie 35",,,,,,
K01.20.30 - Dwory inne,Momajny-Piskorze,Polska,warmińsko-mazurskie,kętrzyński,Barciany,11-410,"warmińsko-mazurskie, kętrzyński, Barciany, Piskorze 8",,,,,,
K01.20.30 - Dwory inne,Dwór w Bartkowskim Dworze,Polska,warmińsko-mazurskie,olecki,Wieliczki,19-404,"warmińsko-mazurskie, olecki, Wieliczki, Bartkowski Dwór 1",,,,,,
K01.20.30 - Dwory inne,Komorowo,Polska,warmińsko-mazurskie,nidzicki,Janowo,13-113,"warmińsko-mazurskie, nidzicki, Janowo, Komorowo 4",,,,,,
K01.20.30 - Dwory inne,Wopławki,Polska,warmińsko-mazurskie,kętrzyński,Kętrzyn,11-400,"warmińsko-mazurskie, kętrzyński, Kętrzyn, Wopławki 15",,,,,,
K01.20.30 - Dwory inne,Dwór Grzymałów/Belianów w Olsztynie,Polska,warmińsko-mazurskie,Olsztyn,Olsztyn,10-364,"warmińsko-mazurskie, Olsztyn, Olsztyn, Olsztyn, Tracka 15",,,,,,
K01.20.30 - Dwory inne,Rozogi,Polska,warmińsko-mazurskie,mrągowski,Sorkwity,11-731,"warmińsko-mazurskie, mrągowski, Sorkwity, Rozogi 18",,,,,,
K01.20.30 - Dwory inne,Pochwałki,Polska,warmińsko-mazurskie,węgorzewski,Budry,11-606,"warmińsko-mazurskie, węgorzewski, Budry, Pochwałki 6",,,,,,
K01.20.30 - Dwory inne,Ruina Dworu Kije,Polska,warmińsko-mazurskie,olecki,Świętajno,19-411,"warmińsko-mazurskie, olecki, Świętajno, Kije 2",,,,,,
K01.20.30 - Dwory inne,Chojniak,Polska,warmińsko-mazurskie,ełcki,Ełk,19-300,"warmińsko-mazurskie, ełcki, Ełk, Chojniak 4",,,,,,
K01.20.20 - Dwory szlacheckie,Bałcyny,Polska,warmińsko-mazurskie,ostródzki,Ostróda,14-100,"warmińsko-mazurskie, ostródzki, Ostróda, Bałcyny 15",,,,,,
K01.20.20 - Dwory szlacheckie,Sarnowo,Polska,warmińsko-mazurskie,nidzicki,Kozłowo,13-124,"warmińsko-mazurskie, nidzicki, Kozłowo, Sarnowo 81",,,,,,
K01.20.30 - Dwory inne,Dwór Dąbrówka Mała,Polska,warmińsko-mazurskie,węgorzewski,Węgorzewo,11-600,"warmińsko-mazurskie, węgorzewski, Węgorzewo, Dąbrówka Mała 2",,,,,,
K01.30.10 - Zamki,Ruiny zamku kapituły pomezańskiej w Szymbarku,Polska,warmińsko-mazurskie,iławski,Iława,14-202,"warmińsko-mazurskie, iławski, Iława, Szymbark 20",fair,partial,good,"Wznoszące się nad brzegiem jeziora Szymbarskiego monumentalne ruiny zamku w Szymbarku (województwo warmińsko-mazurskie, powiat iławski) to jeden z najbardziej spektakularnych i największych pod względem kubatury zabytków gotyckiej architektury obronnej w Polsce. Ta potężna, nizinna twierdza ustępuje wielkością na ziemiach dawnego państwa zakonnego właściwie tylko zamkowi w Malborku, stanowiąc unikalny przykład średniowiecznej architektury rezydencjonalno-obronnej.

Budowę zamku rozpoczęto w ostatniej ćwierci XIV wieku, około 1386 roku, z inicjatywy prepozyta kapituły pomezańskiej Henryka ze Skarlina. Prace trwały z przerwami do początku XV wieku. Warownia powstała jako główna, oficjalna rezydencja i centrum administracyjne dóbr kapituły pomezańskiej, niezależne od zakonu krzyżackiego. W czasie wojny trzynastoletniej zamek wielokrotnie przechodził z rąk do rąk, a po sekularyzacji zakonu w 1525 roku stał się własnością księcia Albrechta Hohenzollerna, który przekazał go w ręce rodu von Polenz. W kolejnych stuleciach warownia stała się gniazdem rodowym magnackiego klanu von Finckenstein. Nowi właściciele przekształcili surową, gotycką warownię w luksusową, barokowo-renesansową rezydencję pałacową, nie naruszając jednak zewnętrznego, obronnego charakteru murów. Najczarniejszy rozdział w historii obiektu zapisał rok 1945. Zamek przetrwał działania wojenne bez większych uszkodzeń, jednak po wkroczeniu Armii Czerwonej został celowo i doszczętnie spalony. Od tamtej pory ta architektoniczna perełka pozostaje w stanie zabezpieczonej, monumentalnej ruiny.

Architektura i konstrukcja
Konstrukcja szymbarskiej warowni imponuje rozmachem i precyzją wykonania. Zamek wzniesiono z czerwonej cegły na potężnej podmurówce z kamieni polnych, na planie regularnego prostokąta o wymiarach zbliżonych do siedemdziesięciu pięciu na dziewięćdziesiąt dwa metry. Najbardziej charakterystycznym elementem całego założenia, decydującym o jego unikalnym wyglądzie, jest potężny obwód obronny wzmocniony aż dziesięcioma basztami. Cztery z nich, narożne, wybudowano na planie koła, natomiast sześć baszt kurtynowych wzniesiono na rzucie prostokąta. Wszystkie wieże wysunięto przed lico murów, co umożliwiało skuteczny obstrzał flankowy. Wewnątrz rozległego dziedzińca znajdowały się reprezentacyjne i mieszkalne skrzydła pałacowe, a całe założenie odcięto od lądu głęboką fosą, nad którą przerzucono monumentalny, murowany most arkadowy.

Stan zachowania i znaczenie współczesne
Współcześnie zamek w Szymbarku, mimo braku dachów i stropów, zachował niemal w całości swój spektakularny, zewnętrzny obwód obronny. Do dziś stoją monumentalne ściany kurtynowe oraz większość z dziesięciu potężnych baszt, które dumnie górują nad okolicznymi lasami i taflą jeziora. Widok tych ogromnych, czerwonych murów wyrastających pośród zieleni robi piorunujące wrażenie na każdym turyście. Obiekt przez lata był tłem dla wielu produkcji filmowych, w tym słynnego filmu ""Król Olch"" z Johnem Malkovichem.

Zamek znajduje się obecnie w rękach prywatnych i trwają powolne prace mające na celu jego rewitalizację. Chociaż wejście na wewnętrzny dziedziniec bywa ograniczone ze względów bezpieczeństwa, to obejście zamku dookoła wzdłuż dawnej fosy i podziwianie potężnego mostu bramnego stanowi obowiązkowy punkt programu dla każdego miłośnika średniowiecznych warowni i gotyku.",pl:Zamek w Szymbarku,Q9386750
K01.20.30 - Dwory inne,Elbląg II,Polska,warmińsko-mazurskie,Elbląg,Elbląg,82-300,"warmińsko-mazurskie, Elbląg, Elbląg, Elbląg, Bolesława Chrobrego 10",,,,,,
K01.30.10 - Zamki,Ruiny Zamku królewskiego w Złotorii,Polska,kujawsko-pomorskie,toruński,Lubicz,87-162,"kujawsko-pomorskie, toruński, Lubicz, Złotoria, Toruńska 4",poor,full,fair,"Ruiny zamku w Złotorii (województwo kujawsko-pomorskie, powiat toruński) to pozostałości gotyckiej warowni rycerskiej, wzniesionej w widłach Wisły i Drwęcy. Murowany zamek został wybudowany około 1343 roku z inicjatywy króla Kazimierza Wielkiego. Obiekt pełnił kluczową rolę strategiczną – zabezpieczał granicę Królestwa Polskiego, kontrolował ruch spławny na Wiśle oraz stanowił militarną przeciwwagę dla pobliskiego, krzyżackiego Torunia.

Założenie obronne wzniesiono z czerwonej cegły na planie nieregularnego czworoboku, dostosowanego do ukształtowania terenu na wysokim brzegu rzecznym. Głównym elementem warowni był dwukondygnacyjny dom mieszkalny oraz wysoka, czworoboczna wieża główna (stołp), usytuowana w narożniku wschodnim, która służyła jako punkt obserwacyjny i ostateczny punkt obrony. Całość otaczał wysoki mur obwodowy oraz system suchej fosy. Zamek dzielił burzliwe losy pogranicza polsko-krzyżackiego; w 1376 roku został zdobyty przez księcia Władysława Białego, a podczas oblężenia ranny został król Kaźko Słupski, który w wyniku tych obrażeń zmarł. W 1409 roku, na początku wielkiej wojny, warownia została zdobyta i zniszczona przez Krzyżaków po zdradzie burgrabiego, co stało się jednym z bezpośrednich powodów późniejszej wyprawy pod Grunwald. Choć na mocy pokoju toruńskiego w 1411 roku zamek wrócił do Polski i został odbudowany, stracił znaczenie militarne po wojnie trzynastoletniej i inkorporacji Prus do Korony.

Od początku XIX wieku obiekt nie był użytkowany i ulegał stopniowej rozbiórce na materiał budowlany, do czego przyczyniły się także podmywające wzgórze wody Wisły. Współcześnie Zamek w Złotorii zachował się w formie malowniczej, trwałej ruiny. Do czasów obecnych przetrwały wysokie fragmenty wieży głównej, znaczne odcinki murów obwodowych oraz zarysy dawnego domu mieszkalnego. Ruiny są ogólnodostępne dla turystów, stanowiąc punkt widokowy na ujście Drwęcy do Wisły oraz element historycznego Szlaku Zamków Gotyckich.",pl:Zamek w Złotorii,Q9386770
K01.20.30 - Dwory inne,Suchoręcz,Polska,kujawsko-pomorskie,nakielski,Kcynia,89-240,"kujawsko-pomorskie, nakielski, Kcynia, Suchoręcz 8",,,,,,
K01.20.30 - Dwory inne,Chobielin,Polska,kujawsko-pomorskie,nakielski,Szubin,89-200,"kujawsko-pomorskie, nakielski, Szubin, Chobielin-Dwór 1",,,,,,
K01.20.30 - Dwory inne,Dwór Bąkowo,Polska,kujawsko-pomorskie,inowrocławski,Dąbrowa Biskupia,88-133,"kujawsko-pomorskie, inowrocławski, Dąbrowa Biskupia, Bąkowo 1",,,,,,
K01.20.30 - Dwory inne,Szychowo,Polska,kujawsko-pomorskie,golubsko-dobrzyński,Kowalewo Pomorskie,87-410,"kujawsko-pomorskie, golubsko-dobrzyński, Kowalewo Pomorskie, Szychowo 36",,,,,,
K01.20.30 - Dwory inne,Dwór w Piotrkowie Kujawskim,Polska,kujawsko-pomorskie,radziejowski,Piotrków Kujawski,88-230,"kujawsko-pomorskie, radziejowski, Piotrków Kujawski, Piotrków Kujawski, Targowa 2",,,,,,
K01.20.30 - Dwory inne,Dwór Mierzwin,Polska,kujawsko-pomorskie,inowrocławski,Złotniki Kujawskie,88-180,"kujawsko-pomorskie, inowrocławski, Złotniki Kujawskie, Mierzwin 33",,,,,,
K01.20.30 - Dwory inne,Dwór Wilczkowo,Polska,kujawsko-pomorskie,żniński,Żnin,88-400,"kujawsko-pomorskie, żniński, Żnin, Wilczkowo 5",,,,,,
