fid,@id,wkt,x_wgs84,y_wgs84,historic,name,building,addr:housenumber,addr:postcode,castle_type,source:addr,addr:city:simc,addr:place,addr:city,wikidata,source,addr:street,heritage,wikipedia,tourism,heritage:operator,ref:nid,building:levels,start_date,url,description,website,ruins,access,addr:street:sym_ul,image,source:geometry,source:building,name:de,wikimedia_commons,historic:civilization,phone,name:pl,type,alt_name,ref:ckkp,nid:inscription_date,email,name:en,old_name,amenity,roof:shape,addr:country,heritage:website,opening_hours,operator,roof:colour,ref:inspire,roof:levels,building:colour,building:fireproof,building:material,note,barrier,wheelchair,fee,check_date,wikipedia:pl,roof:material,height,mapillary,contact:phone,material,nid:website,addr:housename,building:architecture,name:ru,architect,building:levels:underground,contact:website,contact:email,name:uk,internet_access,layer,loc_name,name:fr,official_name,contact:facebook,name:cs,short_name,name:be,old_name:de,government,man_made,name:es,abandoned,office,social_facility,stars,alt_name:de,alt_name:pl,ele,fixme,name:hu,nid:ref,religion,source_ref,tower:type,building:use,denomination,heritage:since,museum,name:eo,name:zh,ref,toilets:wheelchair,admin_level,area,charge,cuisine,inscription,internet_access:fee,name:it,name:pt,roof:orientation,social_facility:for,year_of_construction
11,relation/2702585,POINT (19.93671602684276 50.0607024),19.93671602684276,50.0607024,castle,Pałac Zbaraskich,yes,,,stately,,,,,Q11814892,,,,pl:Pałac Zbaraskich w Krakowie,,,,4,,,,,,,,,,,,"File:Pałac Zbaraskich, Kraków.JPG",,,,multipolygon,,,,,,,,gabled,,,,,grey,,,"#faf0e6",,plaster,,,,,,,tiles,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,along,,
12,relation/3087892,POINT (21.34832493656011 54.213960799999995),21.34832493656011,54.213960799999995,castle,Zamek Krzyżacki w Barcianach,yes,7,11-410,,barciany.e-mapa.net,0468996,,Barciany,Q823059,,Wiosenna,2,pl:Zamek w Barcianach,,nid,A/32-1990,,,,,,,,24364,https://upload.wikimedia.org/wikipedia/commons/2/2e/Barciany_Zamek_01.JPG,,,Ordensburg Barten,Category:Barciany Castle,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,relation/3164518,POINT (15.142874890183078 51.639930449999994),15.142874890183078,51.639930449999994,castle,Pałac Promnitzów,yes,,,palace,,,,,Q11814840,survey,,,pl:Pałac Promnitzów w Żarach,,,,,,"https://polska-org.pl/514032,Zary,Palac_Promnitzow_i_zamek_Dewinow_Bibersteinow.html",https://www.youtube.com/watch?v=Z-YTBB_VGjg,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,relation/3185835,POINT (22.623342521722513 51.782423300000005),22.623342521722513,51.782423300000005,castle,Pałac Potockich,yes,1,21-300,palace,emuia.gugik.gov.pl,0922277,,Radzyń Podlaski,Q11815021,,Zamkowa,,pl:Pałac w Radzyniu Podlaskim,,,,,,"https://fotopolska.eu/6027,obiekt.html?map_z=17",,,,,25547,https://photos.app.goo.gl/Ftgw7JgJa6d4Y9iP6,,,Schloss Radzyń Podlaski,,,,Pałac Potockich,multipolygon,,,,,Radzyń Podlaski Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Палац Патоцкіх,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,relation/3229503,POINT (22.234315105414268 50.0684665),22.234315105414268,50.0684665,castle,Muzeum - Zamek w Łańcucie,yes,1,37-100,,,,,Łańcut,Q773316,,Zamkowa,2,pl:Zamek w Łańcucie,museum,nid,A-1023,,1610,https://edukacjamuzealnalancut.blogspot.com/,,https://www.zamek-lancut.pl/,,,,https://photos.app.goo.gl/ZbNrKC1QA9UsXMD36,,,Schloss Łańcut,,,"+48 17 225 20 08, 225 20 09, 225 20 10",,multipolygon,Zamek Lubomirskich i Potockich w Łańcucie,PK00349,,muzeum@zamek-lancut.pl,Łańcut Castle,Zamek Lubomirskich i Potockich,,,,,Mo-Fr 09:45-15:00; Sa-Su 09:45-17:00,Muzeum-Zamek w Łańcucie,,,,,,,,,,,,,,,,,,,,,Ланьцутский замок,,,,,Ланьцутський замок,,,,Château de Łańcut,,https://www.facebook.com/mzlancut,,,Ланьцуцкі замак,,,,Castillo de Łańcut,,,,,,,,,,,,,,,,,,,万楚特城堡,,,,,,,,,Castello di Łańcut,,,,
16,relation/3232743,POINT (15.434505834378133 51.33668015),15.434505834378133,51.33668015,castle,Zamek Kliczków,yes,8,59-724,,,,Kliczków,,Q1399252,,,,pl:Zamek w Kliczkowie,hotel,,,,,,,,,,,,,,Schloss Klitschdorf,,,,Zamek Kliczków,multipolygon,,DS00917,,,Kliczków Castle,,,,,,,,,,,,,,,,,,,,,,,+48 75 73 40 700,,,,,,,,http://kliczkow.com.pl/kliczkow/kl_main.xml,zamek@kliczkow.com.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,relation/3295986,POINT (18.759211916176405 49.868829649999995),18.759211916176405,49.868829649999995,castle,Dwór w Drogomyślu,yes,1,43-424,,emuia.gugik.gov.pl,0068073,,Drogomyśl,,,Modrzewiowa,,,,,,,,,,,,,13184,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,relation/3398965,POINT (15.594558147209534 51.7471616),15.594558147209534,51.7471616,castle,"Centrum Kultury ""Zamek""",yes,14,67-120,defensive,,,,,Q18431651,,Klasztorna,2,pl:Zamek w Kożuchowie,,nid,96,,,https://youtu.be/KdphIj-r_N0?si=ShSRJWfGrTrvVn0k,,http://www.zamek.kozuchow.pl/,,,,https://photos.app.goo.gl/AjDyDL1CLYQ312ubA,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mapillary.com/map/im/r70TgtkjYarN3wZTCStDLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,relation/3608812,POINT (20.429462579547785 53.35964655),20.429462579547785,53.35964655,castle,Zamek Krzyżacki,yes,2,13-100,fortress,emuia.gugik.gov.pl,0964904,,Nidzica,Q17462776,,Zamkowa,2,pl:Muzeum Ziemi Nidzickiej w Nidzicy,attraction,nid,647024,,,https://youtu.be/81-vs33-n7E?t=683,,,,,25547,File:647024 Nidzica wnętrze zamku i dziedziniec 06.JPG,,,,,,,,multipolygon,,WN00437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,relation/3623705,POINT (17.376263051350925 51.20896795),17.376263051350925,51.20896795,castle,Zamek Książąt Oleśnickich,yes,,,,,,,,Q9386595,,,,pl:Zamek Książęcy w Oleśnicy,,,,4,,,,,,,,,,,,Category:Oleśnica Castle,,,,multipolygon,,DS00464,,,,,,,,,,,,,,"#F6F0D0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,relation/3653291,POINT (16.670763691137882 51.78741855),16.670763691137882,51.78741855,castle,Zamek w Rydzynie,castle,1,64-130,palace,gugik.gov.pl,,,Rydzyna,Q7384934,,Plac Zamkowy,2,pl:Zamek w Rydzynie,,nid,52,,C17..C18,,,,,yes,,,,,,,,,,multipolygon,,WP01011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zamek Królewski w Rydzynie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,relation/3654252,POINT (17.149529839704307 51.65801525),17.149529839704307,51.65801525,manor,Niewykończony pałac Czartoryskich z 1910 r.,yes,,,,,,,,Q33092878,,,2,pl:Pałac Czartoryskich w Starym Sielcu,,nid,1427/A,,,,,,yes,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,relation/3660604,POINT (16.225478068258724 50.82319895),16.225478068258724,50.82319895,castle,Pałac w Strudze,yes,3,58-311,,starebogaczowice.e-mapa.net,0855345,,Struga,Q19366323,,Wiejska,,pl:Pałac w Strudze,,,,,,,,,,,24048,,,,Schloss Adelsbach,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,relation/3723616,POINT (16.54636125562989 50.90422675),16.54636125562989,50.90422675,castle,Pałac w Śmiałowicach,residential,19C,58-124,stately,marcinowice.e-mapa.net,0853524,Śmiałowice,,,,,,,attraction,,,,,,,,no,,,,geoportal.gov.pl,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,relation/3739860,POINT (16.881207128202988 50.5211192),16.881207128202988,50.5211192,castle,Pałac Marianny Orańskiej,yes,,,,,,,,Q2241816,,,2,pl:Pałac w Kamieńcu Ząbkowickim,attraction,nid,299/34/WŁ z 7.11.1989,,1872,https://youtu.be/DQVIJ1gtr-Y,,https://palacmarianny.com.pl/,,,,https://upload.wikimedia.org/wikipedia/commons/1/18/Cz%C4%99%C5%9B%C4%87_pa%C5%82acu_w_Kamieniu_Z%C4%85bkowickim_05.jpg,"geoportal.gov.pl, GPS",,,,,,,multipolygon,,,,pit@kamienieczabkowicki.eu,,,,skillion,,,,,"#93ACC2",,,"#C59A8A",,,,,no,,,,,22 m,,+48 74 637 01 67,,,,,,Karl Friedrich Schinkel,,,,,,,,,,https://pl-pl.facebook.com/PalacMarianny/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,relation/3937262,POINT (17.492035989322805 54.168551199999996),17.492035989322805,54.168551199999996,castle,Zamek Bytowski,historic,2,77-100,defensive,bytow.e-mapa.net,0977290,,Bytów,Q9386613,,Zamkowa,,pl:Zamek w Bytowie,attraction,,,,,,,http://zamekbytowski.pl/,,,25547,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,relation/3944397,POINT (21.377104745518803 54.07422295),21.377104745518803,54.07422295,castle,Zamek krzyżacki w Kętrzynie,castle,1,,,emuia.gugik.gov.pl,0964710,,Kętrzyn,Q9386669,,Plac Zamkowy,,pl:Zamek w Kętrzynie,,,,,,https://youtu.be/81-vs33-n7E?t=391,,,,,25554,,,,Ordensburg Rastenburg,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,relation/4239030,POINT (16.446608789386048 51.5433419),16.446608789386048,51.5433419,castle,Zamek Rycerski w Chobieni,yes,,,palace,,,,,Q9386614,,,,pl:Zamek w Chobieni,,,,,,,Pałac renesansowy,,,,,,,,Schloss Köben,File:SM_Chobienia_zamek_(2)_ID_595719.jpg,,,Zamek Rycerski w Chobieni,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,relation/4243639,POINT (16.794574034031335 50.737993849999995),16.794574034031335,50.737993849999995,castle,Zamek w Goli Dzierżoniowskiej - Uroczysko Siedmiu Stawów,yes,21,58-217,palace,emuia.gugik.gov.pl,0853903,Gola Dzierżoniowska,,Q1893174,,,,pl:Zamek w Goli Dzierżoniowskiej,hotel,,,,,,,,,,,,21,,Schloss Guhlau - Zu den sieben Teichen,,,,Zamek w Goli Dzierżoniowskiej - Uroczysko Siedmiu Stawów,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,+48 88 55 44 100,,,,,,,,http://www.uroczysko7stawow.pl/,uroczysko@uroczysko7stawow.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,relation/4502079,POINT (19.882448178115034 50.162246749999994),19.882448178115034,50.162246749999994,castle,Zamek Korzkiew,castle,,32-088,,,,,Przybysławice,,,,,,hotel,,,,,https://youtu.be/b4EQbqP6tiw,,http://www.donimirski.com/zamek-korzkiew/zamek,,,,,,,,,,+48 12 419 55 90,,multipolygon,,,,zamek@donimirski.com,,,,,,,,Dominirski Boutique Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,relation/4649810,POINT (15.849915178671093 50.846424049999996),15.849915178671093,50.846424049999996,castle,Zamek w Karpnikach,yes,1,58-533,,,,,Karpniki,Q2241006,,Łąkowa,,pl:Zamek w Karpnikach,hotel,,,,1846,,,https://www.zamekkarpniki.pl/,,customers,,http://www.polskiekrajobrazy.pl/images/stories/big/192733IMGPraw.jpg,,,Schloss Fischbach,,,,Zamek w Karpnikach,multipolygon,,,,,,,,,PL,,,,,,,,,,,,,,2024-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,relation/5438247,POINT (16.29060716499783 51.05753075),16.29060716499783,51.05753075,castle,Pałac Luboradz,yes,,,stately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,relation/5554316,POINT (18.130040889495564 50.45327185),18.130040889495564,50.45327185,castle,Pałac Hrabiów von Gaschin,yes,5,47-330,palace,,,,Żyrowa,Q11815073,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,Wojciecha Korfantego,2,pl:Pałac w Żyrowej,attraction,nid,404/58,,,,,http://www.palaczyrowa.pl/,,private,,,,,,Category:Żyrowa Palace,,,,multipolygon,,,1958-06-15,,,,,,,,,,,PL.1.9.ZIPOZ.NID_N_16_BK.21119,,,,,,,,,,,,,,,,https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_N_16_BK.21119&rejestr=rejestr-zabytkow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,relation/5580924,POINT (16.798568217997953 51.00699765),16.798568217997953,51.00699765,manor,Pałac Krobielowice,yes,21,55-080,,emuia.gugik.gov.pl,0875023,Krobielowice,,,,,,,hotel,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,+48713166648,,,,,,,,http://www.palackrobielowice.com,info@palackrobielowice.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,relation/5659047,POINT (21.009263027953963 52.247071500000004),21.009263027953963,52.247071500000004,castle,Pałac Paca,palace,15,00-246,palace,mapa.um.warszawa.pl,0918123,,Warszawa,Q2045305,,Miodowa,,pl:Pałac Paca w Warszawie,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,Pac Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,relation/5838139,POINT (19.239973874294478 49.8629866),19.239973874294478,49.8629866,manor,Dwór obronny w Czańcu,yes,2,43-354,,emuia.gugik.gov.pl,0064431,,Czaniec,Q9213394,,Długa,2,pl:Dwór obronny w Czańcu,attraction,nid,A-182/77,,,,,,,,03839,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,relation/5868072,POINT (19.059484463595776 49.896670900000004),19.059484463595776,49.896670900000004,castle,Urząd Gminy Bestwina,yes,111,43-512,,,,,Bestwina,,,Krakowska,,,,,,,,,,http://www.bestwina.pl/,,,,,,,,,,+48 32 215 77 00,,multipolygon,,,,,,,townhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,relation/6135494,POINT (16.79543022989284 51.1977208),16.79543022989284,51.1977208,castle,Zamek Na Wodzie Wojnowice,yes,2,55-330,,,,,Wojnowice,Q9386565,,Zamkowa,2,pl:Zamek w Wojnowicach,,nid,164/298,,,,,https://zamekwojnowice.com.pl/,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,relation/6178442,POINT (21.535228078008004 50.5019476),21.535228078008004,50.5019476,castle,Zamek w Baranowie Sandomierskim,castle,22,39-450,palace,gugik.gov.pl,0980352,,Baranów Sandomierski,Q614041,,Zamkowa,,pl:Zamek w Baranowie Sandomierskim,attraction,,,2,1591,,,https://www.baranow.com.pl/,,,,https://www.baranow.com.pl/__data/assets/image/0017/19232/12600010.jpg,,,,,,,,multipolygon,,PK00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,relation/6226824,POINT (17.747577445782387 50.67986805),17.747577445782387,50.67986805,castle,Zamek w Dąbrowie,yes,,,stately,,,,,,,,,,,,,,1617,,,,,customers,,,,,Schloß Dambrau,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,relation/6234891,POINT (16.625582174230544 50.690056049999995),16.625582174230544,50.690056049999995,castle,Pałac Sandreckich,yes,92b,58-260,palace,emuia.gugik.gov.pl,,,Bielawa,Q30041028,,Wolności,,pl:Pałac Sandreckich,,,,,,"https://fotopolska.eu/25788,obiekt.html?map_z=19",,,,,,https://photos.app.goo.gl/yY8rc9LrXPtBCMUf8,,,,,,,,multipolygon,Pałac Sandreczkich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schloss Sandreczki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,relation/6322164,POINT (17.869344343067247 50.577460849999994),17.869344343067247,50.577460849999994,castle,Zamek Prószkowskich,yes,8,46-060,,,,,Prószków,Q9386715,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,Zamkowa,,pl:Zamek w Prószkowie,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,relation/6362984,POINT (17.969454624292705 50.47453195),17.969454624292705,50.47453195,castle,Zamek w Krapkowicach,yes,,,,,,,,,https://www.zamkipolskie.com/krapkowice/krapkowice.html,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,relation/6404133,POINT (18.15661531747242 50.3434617),18.15661531747242,50.3434617,castle,Fort Rondel,fort,26,,fortress,,,,Kędzierzyn-Koźle,,,Portowa,2,,,nid,827/64,,1829,,,https://zabytek.pl/pl/obiekty/kedzierzyn-kozle-fort-fryderyka-wilhelma-(fort-rondel-baszta-mo,,,,,,,,,,,,multipolygon,Fort Montalemberta,,,,,Fort Fryderyka Wilhelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,relation/6408012,POINT (17.806919122348763 50.30292735),17.806919122348763,50.30292735,castle,Pałac,yes,100,48-100,,,,Klisino,,,,,2,,,nid,530/58,,,,,,,,,https://commons.wikimedia.org/wiki/File:Klisino_palace.JPG,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
